Fp1_gamma,AF3_gamma,F3_gamma,F7_gamma,FC5_gamma,FC1_gamma,C3_gamma,T7_gamma,CP5_gamma,CP1_gamma,P3_gamma,P7_gamma,PO3_gamma,O1_gamma,Oz_gamma,Pz_gamma,Fp2_gamma,AF4_gamma,Fz_gamma,F4_gamma,F8_gamma,FC6_gamma,FC2_gamma,Cz_gamma,C4_gamma,T8_gamma,CP6_gamma,CP2_gamma,P4_gamma,P8_gamma,PO4_gamma,O2_gamma
0.641072206575938,0.5701809848715361,0.138124180390053,0.12219671828918884,0.06838955677428223,0.21150836057353245,0.0482136829383561,1.516696344504056,0.14222777188931332,0.05808725084131864,0.07849718732927459,0.3176286852609164,0.14026503545713617,0.2934773772650095,0.4713476366682775,0.04673169105827421,0.24277572705893577,0.10539506959227794,0.15315441019556872,0.41299441495148514,0.1682180774259428,0.05748666867488737,0.13469698382961276,0.05321471655092267,0.04372697001473559,0.1201558022410355,0.36008219205446546,0.06348902196517343,0.08994446513041668,0.1086861430188074,0.4904803046075612,0.09953265021677715
0.2804194890970817,0.5509966692134741,0.15603761003294497,0.14744937506313935,0.2880470202640964,0.7819958200771241,0.055214349298112905,1.1915603335994258,0.35560375861663657,0.058295664002962516,0.14886307413172561,0.7153973618821349,0.25790658831585916,0.5425672219016577,2.2224795350105007,0.04150640134440166,0.36474098879044015,0.11734109344885116,0.2620643313044904,0.5802349282662559,0.7574109270607902,0.16412783764357755,0.24853516183948327,0.06993395020576529,0.09713897883701496,0.4313922306181352,1.7279419812997852,0.12149171090897196,0.1977553315485685,0.13095204024402077,2.565842850494616,0.11820759392913771
0.4723461638198212,0.32610335138867447,0.11508438641290696,0.1080426256156809,0.11756304172137999,0.45067282264353686,0.039707776214859575,1.9046774045086212,0.17263564963833267,0.0524913211627198,0.1023042803020311,0.38284019340354575,0.18386819690460254,0.38309758917403436,1.100915954786848,0.04275059860497026,0.23735250728652257,0.06544683512583487,0.1516973221629919,0.34512093353259443,0.3085877510193407,0.06162934730634373,0.18566182124225644,0.05859917292707777,0.054760435550339416,0.21626762513402228,0.8424584776277662,0.06723271493118323,0.0970706084887546,0.09915543070649094,1.0743090272413118,0.09326983075965177
0.29026284421430315,0.3065674574888179,0.08613186250496753,0.1544747417780057,0.09777537625684421,0.21284402931732435,0.04155930307529645,0.6207192533834641,0.20949337539915372,0.04571454909645161,0.08311849298986279,0.19833257856492614,0.12518051572094993,0.5690317365334183,0.5687060012467846,0.04171226078409698,0.13520419455538665,0.0734875347665048,0.18949246792302427,0.5177048774817493,0.2763049542511117,0.09443552989895355,0.10728132507098975,0.049694512053552284,0.04909272913168676,0.1397297536776459,0.507897379652525,0.07315776811863109,0.1036174856826348,0.10123471727641321,0.8495674835958199,0.10269567390005346
0.7552548232629923,0.4563234075929104,0.15669900269116943,0.10368852610317876,0.07201653757109762,0.16807374423640964,0.04355414839228693,1.3141598808660726,0.14353235893263305,0.043722099430318434,0.07348504908083457,0.20461579506208608,0.11450901986368887,0.336347678906724,0.3975298552429943,0.04172876544547438,0.2495600312086014,0.10196959262245742,0.15410527408759989,0.3704045750442362,0.22114274103188594,0.08107355333673859,0.09833573115603605,0.04820103889969767,0.04628297757815102,0.12418957778964908,0.3504789947005529,0.057369348546726706,0.09006361081454681,0.08768816051940513,0.5714939988003002,0.08709090334737385
0.2970443932344944,2.0409075946224893,0.08860079914315282,0.33362146425170436,0.14277080544995424,0.18504668702421712,0.05401497528171513,0.931928301726399,0.46218510092767545,0.07525898814089851,0.11278790744656429,0.6187051670548855,0.13431394357795723,1.2266072380614244,0.6338318773524702,0.05030710611957956,0.18912403929168367,0.16782344685929995,0.4580274728570957,2.039696631351409,0.6039599618522435,0.25917260995826297,0.1727385894954687,0.05147732563165188,0.06457053695114626,0.1590625000778015,0.6563284711379489,0.13757729755472742,0.26724310432130666,0.09190313352167731,1.7892282287983856,0.0991843640984675
0.2393600137498785,0.8107112181997568,0.08538658264947357,0.17717486327950374,0.09659230271449609,0.20414775946368388,0.04061122313641994,0.5404201544073015,0.22431257031851642,0.061428695307308934,0.08083936725176691,0.29929858599110637,0.12704681947208388,0.6069172667375047,0.6030392560116306,0.04421349578204376,0.15776517346852187,0.09428451919510483,0.24802206287671727,0.8880888055429764,0.3634081189963405,0.11675005394366694,0.12820609170463276,0.04497533875914097,0.04757775342306568,0.14440636960112058,0.4954501028911657,0.08935203983589876,0.13627723272089068,0.09024714279585101,0.9486716147213757,0.09551689485198414
0.4244396601755248,0.2969775112131722,0.1692523077672262,0.20202251363645532,0.3014061138782525,0.7950281961621211,0.06431333659226345,1.4481166567989403,0.49402168781206396,0.04898918911331725,0.18126038273312106,0.5959252564044732,0.26534492051644715,0.9269431784262563,2.4034025617531007,0.04151786620737134,0.37221803854757174,0.08576108877318646,0.35909464085523973,0.7121045980581676,0.9095856167634881,0.16180481802227953,0.20471808836070676,0.07654619791306218,0.09928815312027113,0.46541753204875275,1.989182975549325,0.1476066752518291,0.26252296861166324,0.13651628462373544,3.180701141483182,0.130356880277519
0.2995860351006806,0.23506864649822748,0.0858207361533978,0.10425713266170937,0.07292628373318333,0.22206692334412323,0.042837956406061695,0.9801486331128169,0.11415002338750349,0.0522977184200798,0.0703991883328176,0.2680026213787737,0.12509139222043703,0.23112317579835434,0.4529350755892121,0.04366294301460695,0.22173002066980138,0.08121786460719413,0.1015944636362088,0.24796716584177186,0.14138474188374883,0.053858964195813354,0.11341038006438192,0.04929253419697644,0.04009911771943557,0.11440449903225398,0.34915546244709267,0.05067283471094171,0.059851029111356396,0.09438849732884069,0.36655595170857685,0.08310330770772707
0.2715263921648228,0.3913169348751934,0.10229021910606143,0.10506499931015925,0.11151222180763609,0.2611285812808366,0.04493077462651782,2.0556677852994576,0.2178111298153238,0.04590981478288815,0.10272684945537905,0.27396246897196286,0.13150757615355196,0.43712449338987164,0.6698070551446962,0.041128596985690206,0.18274273604836208,0.08971332680449881,0.21941250084470315,0.5336368356983936,0.3234830264991727,0.10864199758054584,0.1229548837095032,0.05161552960847583,0.05510090205157154,0.1751417716663254,0.5872378558224484,0.07676940760793677,0.10293592481851749,0.11147838368630492,0.9449711175506792,0.11166456090958461
0.24576457522209455,0.5033420634288879,0.12249290534924517,0.13403816322927262,0.1942501124024379,0.4305018698043287,0.044810943086030536,0.9234560181911761,0.29091648819488164,0.0527116302660944,0.1261855987800017,0.3650702787664786,0.18161119149268873,0.6929774076401221,1.2683618742372742,0.04650675277814871,0.26343735732644424,0.1108180434080743,0.24462136335817208,0.5889053574914175,0.5490423366612317,0.13283950837160863,0.15466591550711087,0.060267314258626734,0.066300257547025,0.26501832052554325,1.0478660176731243,0.1042353778895487,0.17518481268626684,0.11796603728012521,1.692172322025551,0.12383934867586127
0.3067160187692422,0.5492824445013804,0.10024302111028564,0.07208639525801382,0.11769278843066283,0.3837817221364156,0.04622679860385143,0.48236402299730574,0.21803176678403707,0.0509707928532127,0.10118389547151163,0.5655270285326065,0.16837913115116254,0.4986292465248291,0.7899244455129424,0.042285283596539096,0.16140467167361183,0.08291277098140423,0.18336584600522096,0.6635642094327107,0.2567558366493795,0.07650453099291947,0.19879447513996273,0.05520074631726916,0.054725879311039914,0.18722517257152835,0.6413059575293871,0.05377175574365759,0.09236697614441924,0.10109661518457103,0.7596311335999251,0.09521367187853885
0.4936516791799044,0.2630865164217907,0.14198103713524773,0.12314060464364529,0.1126010787612143,0.2765665273073138,0.044016717343432016,1.0900434921882947,0.18092087931741416,0.05346673975352846,0.104249753500193,0.30819085476924407,0.1696895261427747,0.5389391393600372,0.7268991663816444,0.05598922383824798,0.3635354995588703,0.1051953168131091,0.1898041333060286,0.4005947809969705,0.3087374780325256,0.08892039441335212,0.12755847124408437,0.06270189445372787,0.06223326448510842,0.1756054602028655,0.5855567782983009,0.07979607428845042,0.10824484984952465,0.11481504914788157,0.8737067161825225,0.11648777317416642
0.3703805960178062,0.26776489539164444,0.11502015254818346,0.14725471603887336,0.116285380264297,0.3113527529261144,0.04602931017704328,0.958861593442908,0.23719497931792644,0.05140283602279978,0.12098933206662654,0.4678077825273265,0.1927630652599166,0.6295235378497344,0.8380530030191243,0.04783967044505236,0.2519062286161018,0.09217071652456219,0.21579229386140647,0.49682375204019746,0.27739140275553925,0.08617576738228153,0.12913949378657513,0.05888294204812611,0.05472178406793113,0.1776545044079577,0.6827829108461588,0.07559801355599102,0.13475732094722126,0.11486339149379492,1.0204710783989186,0.11306264351015685
