Fp1_alpha,AF3_alpha,F3_alpha,F7_alpha,FC5_alpha,FC1_alpha,C3_alpha,T7_alpha,CP5_alpha,CP1_alpha,P3_alpha,P7_alpha,PO3_alpha,O1_alpha,Oz_alpha,Pz_alpha,Fp2_alpha,AF4_alpha,Fz_alpha,F4_alpha,F8_alpha,FC6_alpha,FC2_alpha,Cz_alpha,C4_alpha,T8_alpha,CP6_alpha,CP2_alpha,P4_alpha,P8_alpha,PO4_alpha,O2_alpha
36.822740388651866,41.753629292099,49.324816153931636,4715.224032684412,4.3841041841686845,47.02030070478261,7.167538636171821,35.53815274899881,16.41320161443375,11.176852829605494,6.582301206204553,142.62245207154007,9.653806586675234,81.73784214301617,110.09171825245448,46.789342367230354,38.442001877552805,190.44801397073837,149.75741672485339,32.20774795570548,6.051732299336576,40.3968775240013,527.86046960267,34.5703992419979,3.547560030391521,283.2147985537551,88.45485595311902,6.67348083905241,32.44450621640967,142.67728594952862,48.57828659559139,37.9450043503726
42.39302728237481,54.396669659601415,54.12635996320355,8597.642314470217,7.873767446994261,79.28920025238135,7.603622609158057,57.93559748378376,29.826962937470185,17.99610296157029,8.283199474370225,251.2661058528224,13.82870776280493,106.33655117396111,167.98859893371773,78.8623601520274,49.785644006787734,357.1565263592573,256.1388379250005,58.12569405553789,12.940958194906237,73.93480714208067,898.9091751301053,57.10561970470551,5.735873044519874,535.012323466573,167.66271119195903,7.7076590446998114,61.16532120954025,254.99278655946307,68.89643240081872,44.34862072123932
34.16006937704353,42.463826034604764,42.76363937865116,5749.539335281403,5.103311080940704,54.273210444460126,5.909698386579861,37.15726369136964,19.390584072435637,12.47045538055121,6.778861394974067,167.37023833587565,10.416712189036836,78.75034310750814,116.14965021110942,52.63860849276475,36.85536984737757,236.9426666097221,175.76775172703088,40.889362191193136,10.640044238944785,51.80623564486437,608.9150399015592,40.18196488221828,4.498015914991136,357.75861878352214,113.71083969865366,5.848010429977473,41.88125819476173,171.98610207847634,47.1256208892663,32.9272998826876
30.494988477841098,30.87190582736885,31.3965791091811,2181.1022534154845,4.654192858587592,23.40113155862868,5.031500099708383,17.55663578303059,10.147440984486959,6.617867682825061,5.577956424088626,68.03380427221936,6.681971116750658,44.800232969106034,57.28379346633876,23.79563087626728,25.64764648967862,89.23681486956944,72.43765379918129,18.47361530818114,4.715535452856738,19.6265906048507,247.65281286359073,18.86415015595557,2.9780648665073395,134.18308974371806,47.2249010195473,5.942350968307576,17.63426229300177,65.86765327956421,29.01320268985209,25.47856397185349
32.008473105440615,44.80377903327377,37.670708607426235,5003.79866851188,10.350713937682633,51.676131185054174,7.856190440889018,48.820954569738866,23.12502425116145,11.503716908329029,7.451321727915806,148.44859764372842,11.706091983404912,65.03525354629186,98.7254407563615,46.3452716073305,33.00218496797529,209.58644356835362,160.90659883466378,36.47200353594362,9.360772733203355,43.632834370811494,515.0467582357192,37.50530609110606,5.01690952047656,311.8377241691533,107.80767039197627,6.644771465969971,38.535134763239654,147.40305883754112,41.58418738649369,29.93790622429138
44.32831680544501,57.827104168774184,51.97379452786038,6636.006821930272,6.405486980927184,62.94273321792578,8.858004154416514,48.624655130700745,22.13695663288082,13.113131832869763,7.220047127497338,194.095561365073,11.373805933314582,92.67552600052055,135.74085131778114,61.94336337202613,44.94281904889576,276.0807990974424,204.31492566112388,43.962816014196804,8.498984945271829,55.86618390791432,694.3278475602532,45.38688793534583,4.798345835613688,416.8211842657819,138.2873247164896,6.834099106589774,47.36816706337868,196.65266988311765,57.018361470884095,42.752274138710426
34.85626922130046,37.80106049129893,39.61065140580385,2589.7036749687504,4.82204597178748,27.453287802464246,6.80614284603206,20.700090907604135,10.784631942643738,7.730048475331946,6.397989617715094,79.1233846355485,7.921144881708023,58.64413454299357,71.06266113613154,27.27945130629615,31.46024587587827,106.95457752869123,87.46046415000177,22.6402714556993,9.465245504506225,24.808011070748393,302.80749971668587,22.618156179623305,3.498089903485095,159.12702410980853,57.002253766547774,6.44619894954265,20.073964204534416,78.73069601220853,35.56628315030207,32.660127871515805
29.155626134395483,47.09298478351436,39.489359638143924,7372.975495854492,4.198141615930893,67.61846600120207,5.997049798921408,51.67663164773869,23.830215053984986,13.63325239330517,5.709406124252032,214.06310067083257,10.043425657137778,80.27054243142267,132.3303265061267,65.40568944471626,34.995256450748215,310.05842314742586,220.23876580818734,45.23902031378909,6.02848318170698,58.935762092189094,749.8799388668914,47.53083701778638,3.889965182796331,461.8695256174278,147.91457147166471,5.246948017602234,51.51439100433225,216.59085433156318,52.16742370687422,30.694123825504732
34.49073546566641,40.07463192938417,42.72072821247941,5312.052158765088,5.19490376239297,52.15610899080862,6.365962992449925,35.49170512825515,17.465168623756686,11.428256346792026,5.791879588075123,154.76251778780542,9.256448021917446,77.99024324745665,113.41547196701404,49.880874800603536,35.3342881776382,216.0551690316325,167.06526034479828,35.4467978468865,5.752649118906511,43.815323351504674,577.0314029514943,38.75241978933591,3.760568077071361,323.7308645702505,101.53660074840094,6.114324957081935,37.074915627926565,156.42045258157364,48.43868729055731,34.53525521598849
37.71637271144968,44.07399208643242,53.29857250988964,7463.119274949859,5.301543398786832,69.20489783044901,5.9677109986302295,46.69256520069815,24.69118281863352,15.355667116991171,6.122452940759175,222.82065068006193,10.935088586563529,99.83425293563441,152.53000492096737,68.93481765339698,43.06863758307597,304.98855740474454,224.6789915292272,45.91886915541553,6.698007330530938,61.92767998372937,798.2690038314732,50.948893395279,4.026262043044983,455.7576405013833,136.11729200859762,6.24994980532831,49.186960390283865,222.36467353223173,62.33015476462352,40.356881818225276
